Tiempo,Contador,Acx,Acy,Acz,Gx,Gy,Gz
49982,2775,641,-129,-3844,12,-125.0,-44.0
49998,2776,635,-139,-3870,17,-129.0,-38.0
50014,2777,643,-138,-3827,30,-124.0,-32.0
50030,2778,651,-140,-3841,26,-122.0,-32.0
50046,2779,629,-150,-3835,11,-121.0,-32.0
50062,2780,641,-116,-3823,10,-112.0,-29.0
50078,2781,640,-146,-3841,6,-100.0,-28.0
50094,2782,647,-146,-3841,22,-88.0,-33.0
50110,2783,633,-163,-3849,16,-84.0,-37.0
50126,2784,643,-159,-3829,23,-96.0,-33.0
50142,2785,637,-166,-3844,18,-103.0,-37.0
50158,2786,623,-157,-3845,18,-119.0,-25.0
50175,2787,619,-148,-3833,28,-129.0,-31.0
50190,2788,653,-133,-3859,19,-123.0,-39.0
50206,2789,637,-150,-3813,26,-121.0,-32.0
50222,2790,639,-144,-3855,20,-115.0,-41.0
50238,2791,589,-141,-3841,23,-125.0,-36.0
50254,2792,644,-138,-3842,21,-136.0,-39.0
50270,2793,652,-137,-3801,18,-126.0,-44.0
50286,2794,631,-154,-3887,26,-122.0,-45.0
50302,2795,630,-125,-3847,22,-112.0,-42.0
50318,2796,644,-133,-3866,19,-113.0,-33.0
50334,2797,627,-156,-3847,19,-113.0,-39.0
50351,2798,622,-152,-3809,19,-114.0,-39.0
50366,2799,634,-127,-3821,14,-107.0,-37.0
50382,2800,625,-157,-3821,8,-105.0,-42.0
50398,2801,627,-167,-3856,18,-97.0,-34.0
50414,2802,641,-134,-3863,16,-106.0,-41.0
50430,2803,612,-134,-3832,21,-112.0,-42.0
50446,2804,626,-140,-3827,29,-116.0,-37.0
50462,2805,628,-140,-3833,25,-122.0,-40.0
50478,2806,608,-136,-3865,33,-125.0,-42.0
50494,2807,606,-130,-3824,22,-131.0,-36.0
50510,2808,587,-145,-3821,14,-129.0,-32.0
50526,2809,653,-144,-3848,11,-123.0,-30.0
50542,2810,647,-128,-3864,10,-106.0,-28.0
50558,2811,637,-129,-3865,14,-100.0,-27.0
50574,2812,627,-156,-3816,16,-102.0,-30.0
50590,2813,634,-164,-3844,8,-107.0,-32.0
50606,2814,589,-148,-3867,11,-119.0,-32.0
50622,2815,620,-152,-3839,17,-123.0,-30.0
50638,2816,637,-140,-3826,14,-121.0,-36.0
50654,2817,602,-161,-3857,13,-112.0,-41.0
50670,2818,643,-163,-3787,19,-116.0,-37.0
50686,2819,623,-143,-3820,16,-119.0,-44.0
50703,2820,619,-135,-3841,19,-132.0,-35.0
50718,2821,645,-164,-3841,14,-139.0,-41.0
50734,2822,621,-149,-3837,24,-129.0,-44.0
50750,2823,622,-157,-3879,12,-127.0,-42.0
50766,2824,629,-174,-3826,17,-132.0,-40.0
50782,2825,639,-140,-3870,24,-116.0,-31.0
50798,2826,646,-167,-3858,18,-113.0,-35.0
50815,2827,634,-158,-3856,29,-118.0,-30.0
50830,2828,663,-139,-3856,19,-113.0,-38.0
50846,2829,631,-139,-3846,20,-111.0,-31.0
50862,2830,616,-163,-3854,16,-111.0,-31.0
50878,2831,637,-147,-3827,24,-113.0,-36.0
50894,2832,634,-176,-3820,22,-122.0,-32.0
50910,2833,670,-164,-3863,17,-121.0,-30.0
50926,2834,639,-155,-3850,23,-112.0,-34.0
50942,2835,626,-149,-3829,12,-102.0,-40.0
50958,2836,630,-150,-3843,16,-114.0,-34.0
50974,2837,625,-145,-3865,17,-115.0,-33.0
50990,2838,616,-144,-3839,27,-123.0,-34.0
51006,2839,641,-141,-3835,21,-121.0,-38.0
51023,2840,636,-152,-3841,27,-114.0,-31.0
51038,2841,637,-148,-3850,26,-115.0,-30.0
51054,2842,640,-126,-3850,29,-113.0,-35.0
51070,2843,660,-143,-3888,21,-111.0,-25.0
51086,2844,625,-141,-3842,19,-109.0,-38.0
51102,2845,604,-154,-3862,21,-108.0,-41.0
51118,2846,629,-126,-3874,25,-119.0,-42.0
51134,2847,628,-166,-3862,33,-115.0,-42.0
51150,2848,650,-152,-3840,32,-121.0,-41.0
51166,2849,634,-156,-3864,31,-118.0,-38.0
51182,2850,645,-159,-3827,27,-114.0,-35.0
51198,2851,603,-151,-3844,16,-116.0,-38.0
51214,2852,641,-147,-3824,18,-125.0,-35.0
51230,2853,645,-154,-3844,10,-113.0,-35.0
51246,2854,680,-140,-3846,26,-101.0,-30.0
51262,2855,638,-152,-3860,34,-93.0,-31.0
51278,2856,643,-134,-3809,26,-89.0,-31.0
51295,2857,643,-144,-3846,18,-88.0,-35.0
51310,2858,617,-158,-3854,27,-107.0,-34.0
51326,2859,596,-157,-3830,23,-120.0,-33.0
51342,2860,641,-162,-3826,21,-113.0,-37.0
51358,2861,633,-173,-3842,23,-108.0,-34.0
51374,2862,624,-167,-3829,30,-116.0,-40.0
51391,2863,623,-143,-3825,30,-118.0,-40.0
51406,2864,620,-134,-3862,30,-123.0,-38.0
51423,2865,617,-150,-3872,32,-124.0,-39.0
51438,2866,623,-154,-3837,33,-132.0,-34.0
51454,2867,670,-133,-3857,32,-127.0,-39.0
51470,2868,643,-115,-3858,30,-119.0,-44.0
51487,2869,678,-154,-3834,41,-108.0,-37.0
51502,2870,647,-154,-3850,32,-100.0,-40.0
51518,2871,615,-165,-3801,29,-99.0,-39.0
51534,2872,633,-164,-3849,31,-115.0,-33.0
51550,2873,624,-145,-3860,35,-113.0,-38.0
51566,2874,644,-141,-3856,35,-110.0,-33.0
51582,2875,631,-132,-3809,29,-106.0,-43.0
51598,2876,630,-135,-3817,21,-105.0,-45.0
51614,2877,615,-155,-3844,29,-115.0,-39.0
51630,2878,629,-160,-3838,33,-122.0,-34.0
51646,2879,653,-123,-3861,36,-121.0,-43.0
51662,2880,625,-147,-3876,24,-111.0,-37.0
51678,2881,640,-123,-3854,29,-111.0,-39.0
51694,2882,611,-147,-3833,25,-110.0,-44.0
51710,2883,621,-144,-3831,28,-117.0,-35.0
51726,2884,621,-152,-3858,25,-120.0,-44.0
51742,2885,631,-150,-3846,29,-112.0,-45.0
51758,2886,643,-150,-3864,24,-105.0,-37.0
51774,2887,613,-134,-3836,24,-101.0,-33.0
51790,2888,621,-179,-3827,26,-105.0,-39.0
51806,2889,639,-151,-3848,17,-109.0,-31.0
51823,2890,635,-168,-3856,26,-103.0,-34.0
51838,2891,621,-155,-3819,26,-116.0,-39.0
51854,2892,628,-159,-3828,32,-118.0,-34.0
51870,2893,644,-163,-3858,28,-115.0,-38.0
51887,2894,664,-149,-3825,38,-122.0,-38.0
51902,2895,626,-171,-3855,34,-108.0,-42.0
51918,2896,627,-156,-3824,26,-117.0,-47.0
51934,2897,628,-146,-3822,18,-135.0,-38.0
51950,2898,668,-158,-3863,16,-131.0,-31.0
51966,2899,651,-147,-3835,21,-109.0,-33.0
51982,2900,651,-157,-3839,25,-98.0,-29.0
51999,2901,657,-147,-3841,17,-94.0,-30.0
52014,2902,627,-131,-3852,19,-99.0,-18.0
52030,2903,620,-159,-3835,20,-106.0,-35.0
52046,2904,622,-148,-3848,20,-108.0,-36.0
52062,2905,625,-176,-3865,21,-118.0,-39.0
52078,2906,602,-154,-3861,27,-123.0,-40.0
52094,2907,657,-103,-3883,18,-115.0,-42.0
52110,2908,624,-137,-3844,24,-115.0,-46.0
52127,2909,610,-127,-3858,31,-128.0,-37.0
52142,2910,621,-147,-3877,28,-137.0,-39.0
52158,2911,672,-130,-3856,21,-132.0,-37.0
52174,2912,634,-149,-3827,16,-127.0,-43.0
